Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
Castilla y León,Servicios,Sueldos y salarios,2020,
Castilla y León,Servicios,Sueldos y salarios,2019,
Castilla y León,Servicios,Sueldos y salarios,2018,
Castilla - La Mancha,Industria,Sueldos y salarios,2023,
Castilla - La Mancha,Industria,Sueldos y salarios,2022,
Castilla - La Mancha,Industria,Sueldos y salarios,2021,
Castilla - La Mancha,Industria,Sueldos y salarios,2020,
Castilla - La Mancha,Industria,Sueldos y salarios,2019,
Castilla - La Mancha,Industria,Sueldos y salarios,2018,
Castilla - La Mancha,Construcción,Sueldos y salarios,2023,
Castilla - La Mancha,Construcción,Sueldos y salarios,2022,
Castilla - La Mancha,Construcción,Sueldos y salarios,2021,
Castilla - La Mancha,Construcción,Sueldos y salarios,2020,
Castilla - La Mancha,Construcción,Sueldos y salarios,2019,
Castilla - La Mancha,Construcción,Sueldos y salarios,2018,
Castilla - La Mancha,Servicios,Sueldos y salarios,2023,
Castilla - La Mancha,Servicios,Sueldos y salarios,2022,
Castilla - La Mancha,Servicios,Sueldos y salarios,2021,
Castilla - La Mancha,Servicios,Sueldos y salarios,2020,
Castilla - La Mancha,Servicios,Sueldos y salarios,2019,
Castilla - La Mancha,Servicios,Sueldos y salarios,2018,
Cataluña,Industria,Sueldos y salarios,2023,
Cataluña,Industria,Sueldos y salarios,2022,
Cataluña,Industria,Sueldos y salarios,2021,
Cataluña,Industria,Sueldos y salarios,2020,
Cataluña,Industria,Sueldos y salarios,2019,
Cataluña,Industria,Sueldos y salarios,2018,
Cataluña,Construcción,Sueldos y salarios,2023,
Cataluña,Construcción,Sueldos y salarios,2022,
Cataluña,Construcción,Sueldos y salarios,2021,
Cataluña,Construcción,Sueldos y salarios,2020,
Cataluña,Construcción,Sueldos y salarios,2019,
Cataluña,Construcción,Sueldos y salarios,2018,
Cataluña,Servicios,Sueldos y salarios,2023,
Cataluña,Servicios,Sueldos y salarios,2022,
Cataluña,Servicios,Sueldos y salarios,2021,
Cataluña,Servicios,Sueldos y salarios,2020,
Cataluña,Servicios,Sueldos y salarios,2019,
Cataluña,Servicios,Sueldos y salarios,2018,
Comunitat Valenciana,Industria,Sueldos y salarios,2023,
Comunitat Valenciana,Industria,Sueldos y salarios,2022,
