Periodo,Comunidad autónoma,AÑO,Trimestre,Inactivos,Ocupados,Parados,Total Actividad
2018T4,09 Cataluña,2018,T4,2388400.0,3391100.0,451400.0,6230900.0
2018T4,10 Comunitat Valenciana,2018,T4,1737600.0,2062699.9999999998,344100.0,4144400.0
2018T4,11 Extremadura,2018,T4,400700.0,381100.0,114400.0,896200.0
2018T4,12 Galicia,2018,T4,1097300.0,1088100.0,148900.0,2334300.0
2018T4,"13 Madrid, Comunidad de",2018,T4,2020400.0,3035600.0,396200.0,5452200.0
2018T4,"14 Murcia, Región de",2018,T4,487600.0,604600.0,113700.0,1205900.0
2018T4,"15 Navarra, Comunidad Foral de",2018,T4,217000.0,284800.0,31600.0,533400.0
2018T4,16 País Vasco,2018,T4,797400.0,930600.0,98700.0,1826700.0
2018T4,"17 Rioja, La",2018,T4,106200.0,138800.0,15900.0,260900.0
2018T4,18 Ceuta,2018,T4,26900.0,30200.0,8700.0,65800.0
2018T4,19 Melilla,2018,T4,26400.0,27100.0,9300.0,62800.0
2019T1,01 Andalucía,2019,T1,3011800.0,3106200.0,829500.0,6947500.0
2019T1,02 Aragón,2019,T1,455000.0,577200.0,67800.0,1100000.0
2019T1,"03 Asturias, Principado de",2019,T1,437200.0,385400.0,68200.0,890800.0
2019T1,"04 Balears, Illes",2019,T1,374700.0,516100.0,106200.0,997000.0
2019T1,05 Canarias,2019,T1,752400.0,892500.0,237700.0,1882600.0
2019T1,06 Cantabria,2019,T1,222600.0,237300.0,33000.0,492900.0
2019T1,07 Castilla y León,2019,T1,945400.0,964600.0,136700.0,2046700.0
2019T1,08 Castilla - La Mancha,2019,T1,694900.0,829500.0,154900.0,1679300.0
2019T1,09 Cataluña,2019,T1,2414700.0,3391000.0,446600.0,6252300.0
2019T1,10 Comunitat Valenciana,2019,T1,1764900.0,2053400.0,337300.0,4155600.0
2019T1,11 Extremadura,2019,T1,397200.0,386100.0,112200.0,895500.0
2019T1,12 Galicia,2019,T1,1099700.0,1080200.0,153900.0,2333800.0
2019T1,"13 Madrid, Comunidad de",2019,T1,2041800.0,3032000.0,401900.0,5475700.0
2019T1,"14 Murcia, Región de",2019,T1,500300.0,602900.0,107400.0,1210600.0
2019T1,"15 Navarra, Comunidad Foral de",2019,T1,226000.0,283700.0,25300.0,535000.0
2019T1,16 País Vasco,2019,T1,793900.0,935900.0,99600.0,1829400.0
