Comunidad autonoma;Sexo;periodo;Total;;;;;
Cataluña;Hombres;2021;19,67;;;;;
Cataluña;Hombres;2020;23,24;;;;;
Cataluña;Hombres;2019;24,74;;;;;
Cataluña;Hombres;2018;21,46;;;;;
Cataluña;Mujeres;2023;12,28;;;;;
Cataluña;Mujeres;2022;14,65;;;;;
Cataluña;Mujeres;2021;9,8;;;;;
Cataluña;Mujeres;2020;11,09;;;;;
Cataluña;Mujeres;2019;12,99;;;;;
Cataluña;Mujeres;2018;12,49;;;;;
Comunitat Valenciana;Hombres;2023;16,22;;;;;
Comunitat Valenciana;Hombres;2022;18,44;;;;;
Comunitat Valenciana;Hombres;2021;15,79;;;;;
Comunitat Valenciana;Hombres;2020;19;;;;;
Comunitat Valenciana;Hombres;2019;19,7;;;;;
Comunitat Valenciana;Hombres;2018;24,2;;;;;
Comunitat Valenciana;Mujeres;2023;13,69;;;;;
Comunitat Valenciana;Mujeres;2022;13,44;;;;;
Comunitat Valenciana;Mujeres;2021;10,39;;;;;
Comunitat Valenciana;Mujeres;2020;11,63;;;;;
Comunitat Valenciana;Mujeres;2019;12,83;;;;;
Comunitat Valenciana;Mujeres;2018;16,08;;;;;
Extremadura;Hombres;2023;12,06;;;;;
Extremadura;Hombres;2022;14,52;;;;;
Extremadura;Hombres;2021;19,08;;;;;
Extremadura;Hombres;2020;24,44;;;;;
Extremadura;Hombres;2019;27,54;;;;;
Extremadura;Hombres;2018;27,72;;;;;
Extremadura;Mujeres;2023;7,53;;;;;
Extremadura;Mujeres;2022;6,69;;;;;
Extremadura;Mujeres;2021;9,2;;;;;
Extremadura;Mujeres;2020;12,03;;;;;
Extremadura;Mujeres;2019;13,05;;;;;
Extremadura;Mujeres;2018;13,87;;;;;
Galicia;Hombres;2023;11,72;;;;;
Galicia;Hombres;2022;11,33;;;;;
Galicia;Hombres;2021;11,6;;;;;
Galicia;Hombres;2020;15,46;;;;;
Galicia;Hombres;2019;16,75;;;;;
Galicia;Hombres;2018;16,98;;;;;
Galicia;Mujeres;2023;6,14;;;;;
Galicia;Mujeres;2022;8,34;;;;;
Galicia;Mujeres;2021;5,66;;;;;
Galicia;Mujeres;2020;8,22;;;;;
Galicia;Mujeres;2019;8,18;;;;;
Galicia;Mujeres;2018;11,4;;;;;
Madrid, Comunidad de;Hombres;2023;11,94;;;;;
Madrid, Comunidad de;Hombres;2022;13,5;;;;;
Madrid, Comunidad de;Hombres;2021;12,53;;;;;
Madrid, Comunidad de;Hombres;2020;12,62;;;;;
Madrid, Comunidad de;Hombres;2019;13,76;;;;;
Madrid, Comunidad de;Hombres;2018;17,8;;;;;
Madrid, Comunidad de;Mujeres;2023;10,81;;;;;
Madrid, Comunidad de;Mujeres;2022;8,85;;;;;
Madrid, Comunidad de;Mujeres;2021;6,87;;;;;
Madrid, Comunidad de;Mujeres;2020;7,24;;;;;
Madrid, Comunidad de;Mujeres;2019;9,92;;;;;
Madrid, Comunidad de;Mujeres;2018;11,03;;;;;
Murcia, Region de;Hombres;2023;22,11;;;;;
Murcia, Region de;Hombres;2022;23,55;;;;;
Murcia, Region de;Hombres;2021;20,88;;;;;
Murcia, Region de;Hombres;2020;22,39;;;;;
Murcia, Region de;Hombres;2019;28,49;;;;;
Murcia, Region de;Hombres;2018;30,78;;;;;
Murcia, Region de;Mujeres;2023;15,97;;;;;
Murcia, Region de;Mujeres;2022;12,85;;;;;
Murcia, Region de;Mujeres;2021;11,99;;;;;
Murcia, Region de;Mujeres;2020;14,47;;;;;
Murcia, Region de;Mujeres;2019;16,32;;;;;
Murcia, Region de;Mujeres;2018;16,7;;;;;
Navarra, Comunidad foral de;Hombres;2023;9,43;;;;;
Navarra, Comunidad foral de;Hombres;2022;7,3;;;;;
Navarra, Comunidad foral de;Hombres;2021;11,08;;;;;
Navarra, Comunidad foral de;Hombres;2020;13,91;;;;;
Navarra, Comunidad foral de;Hombres;2019;17,81;;;;;
Navarra, Comunidad foral de;Hombres;2018;12,42;;;;;
Navarra, Comunidad foral de;Mujeres;2023;3,65;;;;;
Navarra, Comunidad foral de;Mujeres;2022;3,13;;;;;
Navarra, Comunidad foral de;Mujeres;2021;5,76;;;;;
Navarra, Comunidad foral de;Mujeres;2020;7,85;;;;;
Navarra, Comunidad foral de;Mujeres;2019;10,06;;;;;
Navarra, Comunidad foral de;Mujeres;2018;10,31;;;;;
Pais Vasco;Hombres;2023;7,5;;;;;
Pais Vasco;Hombres;2022;7,2;;;;;
Pais Vasco;Hombres;2021;5,32;;;;;
Pais Vasco;Hombres;2020;8,51;;;;;
Pais Vasco;Hombres;2019;9,1;;;;;
Pais Vasco;Hombres;2018;9,35;;;;;
Pais Vasco;Mujeres;2023;5,75;;;;;
Pais Vasco;Mujeres;2022;5,01;;;;;
Pais Vasco;Mujeres;2021;5,29;;;;;
Pais Vasco;Mujeres;2020;4,33;;;;;
Pais Vasco;Mujeres;2019;4,27;;;;;
Pais Vasco;Mujeres;2018;4,46;;;;;
Rioja, La;Hombres;2023;15,15;;;;;
Rioja, La;Hombres;2022;15,93;;;;;
Rioja, La;Hombres;2021;13,5;;;;;
Rioja, La;Hombres;2020;17,94;;;;;
Rioja, La;Hombres;2019;17,65;;;;;
Rioja, La;Hombres;2018;18,16;;;;;
Rioja, La;Mujeres;2023;3,85;;;;;
Rioja, La;Mujeres;2022;7,69;;;;;
Rioja, La;Mujeres;2021;12,78;;;;;
Rioja, La;Mujeres;2020;10,93;;;;;
Rioja, La;Mujeres;2019;10,22;;;;;
Rioja, La;Mujeres;2018;16,14;;;;;
Ceuta;Hombres;2023;..;;;;;
Ceuta;Hombres;2022;26,13;;;;;
Ceuta;Hombres;2021;..;;;;;
Ceuta;Hombres;2020;26,14;;;;;
Ceuta;Hombres;2019;27,83;;;;;
Ceuta;Hombres;2018;..;;;;;
Ceuta;Mujeres;2023;..;;;;;
Ceuta;Mujeres;2022;..;;;;;
Ceuta;Mujeres;2021;..;;;;;
Ceuta;Mujeres;2020;..;;;;;
Ceuta;Mujeres;2019;..;;;;;
Ceuta;Mujeres;2018;..;;;;;
MelilLa;Hombres;2023;22,07;;;;;
MelilLa;Hombres;2022;..;;;;;
MelilLa;Hombres;2021;..;;;;;
MelilLa;Hombres;2020;..;;;;;
MelilLa;Hombres;2019;..;;;;;
MelilLa;Hombres;2018;31,86;;;;;
MelilLa;Mujeres;2023;..;;;;;
MelilLa;Mujeres;2022;..;;;;;
MelilLa;Mujeres;2021;..;;;;;
MelilLa;Mujeres;2020;..;;;;;
MelilLa;Mujeres;2019;..;;;;;
MelilLa;Mujeres;2018;..;;;;;
