Grupo de edad;Comunidad autonoma;Sexo;Nivel de formacion;periodo;Total
25 - 64 años;Andalucia;Mujeres;E. Superior;2021;37,33
25 - 64 años;Andalucia;Mujeres;E. Superior;2020;35,39
25 - 64 años;Andalucia;Mujeres;E. Superior;2019;33,41
25 - 64 años;Andalucia;Mujeres;E. Superior;2018;32,46
25 - 64 años;Aragon;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;36,45
25 - 64 años;Aragon;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;37,07
25 - 64 años;Aragon;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;34,17
25 - 64 años;Aragon;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;35,00
25 - 64 años;Aragon;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;36,18
25 - 64 años;Aragon;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;37,95
25 - 64 años;Aragon;Hombres;2ª etapa E. Secundaria;2023;23,27
25 - 64 años;Aragon;Hombres;2ª etapa E. Secundaria;2022;23,83
25 - 64 años;Aragon;Hombres;2ª etapa E. Secundaria;2021;29,12
25 - 64 años;Aragon;Hombres;2ª etapa E. Secundaria;2020;28,81
25 - 64 años;Aragon;Hombres;2ª etapa E. Secundaria;2019;27,56
25 - 64 años;Aragon;Hombres;2ª etapa E. Secundaria;2018;26,21
25 - 64 años;Aragon;Hombres;E. Superior;2023;40,28
25 - 64 años;Aragon;Hombres;E. Superior;2022;39,10
25 - 64 años;Aragon;Hombres;E. Superior;2021;36,71
25 - 64 años;Aragon;Hombres;E. Superior;2020;36,19
25 - 64 años;Aragon;Hombres;E. Superior;2019;36,25
25 - 64 años;Aragon;Hombres;E. Superior;2018;35,84
25 - 64 años;Aragon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;30,72
25 - 64 años;Aragon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;29,94
25 - 64 años;Aragon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;27,62
25 - 64 años;Aragon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;30,03
25 - 64 años;Aragon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;32,28
25 - 64 años;Aragon;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;32,90
25 - 64 años;Aragon;Mujeres;2ª etapa E. Secundaria;2023;23,63
25 - 64 años;Aragon;Mujeres;2ª etapa E. Secundaria;2022;23,99
25 - 64 años;Aragon;Mujeres;2ª etapa E. Secundaria;2021;27,91
25 - 64 años;Aragon;Mujeres;2ª etapa E. Secundaria;2020;26,66
25 - 64 años;Aragon;Mujeres;2ª etapa E. Secundaria;2019;25,40
25 - 64 años;Aragon;Mujeres;2ª etapa E. Secundaria;2018;26,16
