Comunidad autónoma;Relación con la actividad en el trimestre actual;Relación con la actividad en el trimestre anterior;Periodo;Total
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2024T1;493,9
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2023T4;544,2
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2023T3;605,5
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2023T2;492,7
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2023T1;485,9
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2022T4;523,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2022T3;586,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2022T2;494
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2022T1;478
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2021T4;497,4
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2021T3;531,9
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2021T2;465,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2021T1;449,7
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2020T4;491
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2020T3;488,1
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2020T2;450,4
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2020T1;466,9
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2019T4;538,3
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2019T3;564
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2019T2;486,8
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2019T1;481,9
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2018T4;536,9
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2018T3;572,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2018T2;463,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2018T1;454,5
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2017T4;501,1
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2017T3;535,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2017T2;470,3
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2017T1;453,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2016T4;486,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2016T3;535,8
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2016T2;472,1
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2016T1;441,3
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2015T4;473,7
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2015T3;505,1
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2015T2;439,7
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2015T1;420,4
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2014T4;455,3
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2014T3;493
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2014T2;404,9
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2014T1;387
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2013T4;436,8
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2013T3;475,5
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2013T2;402,1
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2013T1;397,7
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2012T4;435,9
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2012T3;467,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2012T2;402,7
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2012T1;404,2
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2011T4;425,3
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2011T3;465,1
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2011T2;408,3
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2011T1;399,3
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2010T4;438
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2010T3;469,5
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2010T2;418,3
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2010T1;406,5
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2009T4;445,1
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2009T3;463,4
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2009T2;419,1
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2009T1;431,5
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2008T4;465,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2008T3;496,5
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2008T2;458,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2008T1;454,3
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2007T4;474
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2007T3;500
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2007T2;449,2
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2007T1;442,5
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2006T4;471,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2006T3;486,8
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2006T2;428,9
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2006T1;418,6
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2005T4;431,1
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2005T3;461,4
04 Balears, Illes;Ocupados (trimestre actual);Ocupados (trimestre anterior);2005T2;404,1
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2024T2;57,8
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2024T1;23,8
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2023T4;9,6
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2023T3;20,8
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2023T2;73,5
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2023T1;10,9
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2022T4;13,1
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2022T3;24
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2022T2;59,1
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2022T1;19,5
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2021T4;13,4
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2021T3;36,5
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2021T2;35,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2021T1;15
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2020T4;19,1
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2020T3;41,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2020T2;32,8
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2020T1;19
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2019T4;16,2
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2019T3;26,8
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2019T2;56,4
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2019T1;15,7
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2018T4;12,9
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2018T3;33,1
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2018T2;58,8
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2018T1;15,7
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2017T4;10,9
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2017T3;27,9
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2017T2;51
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2017T1;14
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2016T4;18,2
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2016T3;21,7
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2016T2;41,4
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2016T1;31,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2015T4;21,2
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2015T3;32,2
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2015T2;40,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2015T1;18,5
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2014T4;15,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2014T3;28,5
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2014T2;56,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2014T1;22,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2013T4;11,7
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2013T3;37,4
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2013T2;68,7
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2013T1;24,7
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2012T4;14,6
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2012T3;30,4
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2012T2;57,5
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2012T1;15,8
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2011T4;11,4
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2011T3;30,8
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2011T2;45,2
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2011T1;18,4
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2010T4;14,6
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2010T3;34
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2010T2;47,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2010T1;28,9
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2009T4;15
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2009T3;40,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2009T2;40,6
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2009T1;11,5
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2008T4;19,7
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2008T3;19,2
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2008T2;34
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2008T1;15,9
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2007T4;11,9
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2007T3;12,1
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2007T2;35
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2007T1;12,6
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2006T4;5,5
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2006T3;18,7
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2006T2;25,8
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2006T1;12,1
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2005T4;5,6
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2005T3;11,3
04 Balears, Illes;Ocupados (trimestre actual);Parados (trimestre anterior);2005T2;32,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2024T2;43,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2024T1;23,3
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2023T4;10,3
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2023T3;28,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2023T2;53,4
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2023T1;22,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2022T4;17,6
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2022T3;25,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2022T2;43,1
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2022T1;19,4
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2021T4;9,8
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2021T3;28,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2021T2;45,4
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2021T1;22,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2020T4;13,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2020T3;44,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2020T2;28,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2020T1;17,1
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2019T4;15,6
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2019T3;28,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2019T2;35,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2019T1;18,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2018T4;6,2
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2018T3;15,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2018T2;51,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2018T1;18,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2017T4;8,4
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2017T3;22,3
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2017T2;33,2
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2017T1;21,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2016T4;6,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2016T3;15
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2016T2;33,6
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2016T1;18,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2015T4;6,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2015T3;18,1
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2015T2;45,8
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2015T1;17
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2014T4;7,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2014T3;11,2
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2014T2;40,6
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2014T1;9,2
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2013T4;6,2
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2013T3;9,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2013T2;25,8
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2013T1;7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2012T4;5,8
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2012T3;15,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2012T2;28,8
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2012T1;8,2
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2011T4;1,2
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2011T3;14,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2011T2;26,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2011T1;13,1
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2010T4;5,2
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2010T3;11,1
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2010T2;27,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2010T1;12,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2009T4;9,6
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2009T3;18,3
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2009T2;32
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2009T1;10,1
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2008T4;15,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2008T3;22,3
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2008T2;35,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2008T1;16,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2007T4;12,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2007T3;28,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2007T2;40
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2007T1;18
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2006T4;13,5
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2006T3;23,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2006T2;49,8
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2006T1;20,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2005T4;17,9
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2005T3;24,7
04 Balears, Illes;Ocupados (trimestre actual);Inactivos (trimestre anterior);2005T2;44
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2024T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2024T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2023T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2023T3;0,4
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2023T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2023T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2022T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2022T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2022T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2022T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2021T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2021T3;0,4
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2021T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2021T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2020T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2020T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2020T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2020T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2019T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2019T3;0,3
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2019T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2019T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2018T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2018T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2018T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2018T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2017T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2017T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2017T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2017T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2016T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2016T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2016T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2016T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2015T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2015T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2015T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2015T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2014T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2014T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2014T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2014T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2013T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2013T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2013T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2013T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2012T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2012T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2012T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2012T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2011T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2011T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2011T2;0,5
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2011T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2010T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2010T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2010T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2010T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2009T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2009T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2009T2;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2009T1;0,7
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2008T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2008T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2008T2;0,2
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2008T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2007T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2007T3;0,5
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2007T2;1,7
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2007T1;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2006T4;1,9
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2006T3;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2006T2;0,5
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2006T1;1,1
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2005T4;..
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2005T3;0,4
04 Balears, Illes;Ocupados (trimestre actual);No consta (trimestre anterior);2005T2;..
04 Balears, Illes;Parados (trimestre actual);Total (trimestre anterior);2024T2;54,4
04 Balears, Illes;Parados (trimestre actual);Total (trimestre anterior);2024T1;99,1
04 Balears, Illes;Parados (trimestre actual);Total (trimestre anterior);2023T4;70,9
04 Balears, Illes;Parados (trimestre actual);Total (trimestre anterior);2023T3;40,7
04 Balears, Illes;Parados (trimestre actual);Total (trimestre anterior);2023T2;47,5
04 Balears, Illes;Parados (trimestre actual);Total (trimestre anterior);2023T1;112,3
04 Balears, Illes;Parados (trimestre actual);Total (trimestre anterior);2022T4;66,4
