Comunidad autónoma;Relación con la actividad en el trimestre actual;Relación con la actividad en el trimestre anterior;Periodo;Total
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2006T4;37.388,7
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2006T3;37.209,5
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2006T2;37.055,7
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2006T1;36.917,5
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2005T4;36.796,4
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2005T3;36.650,6
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2005T2;36.519,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2024T2;21.252,6
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2024T1;21.330,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2023T4;21.430,1
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2023T3;21.378,5
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2023T2;20.748,1
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2023T1;20.684
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2022T4;20.691,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2022T3;20.615,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2022T2;20.169,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2022T1;20.202,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2021T4;20.077,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2021T3;19.760,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2021T2;19.161,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2021T1;19.431,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2020T4;19.187,9
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2020T3;18.610,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2020T2;19.657,6
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2020T1;19.996,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2019T4;19.978,4
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2019T3;19.884,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2019T2;19.516,5
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2019T1;19.605,9
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2018T4;19.572,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2018T3;19.449,1
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2018T2;18.881,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2018T1;18.966,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2017T4;19.049,1
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2017T3;18.885,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2017T2;18.375,4
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2017T1;18.482,2
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2016T4;18.491
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2016T3;18.320,1
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2016T2;17.999,6
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2016T1;18.072,9
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2015T4;18.076
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2015T3;17.918,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2015T2;17.429,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2015T1;17.551,9
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2014T4;17.554,9
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2014T3;17.437,8
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2014T2;16.998,6
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2014T1;17.106
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2013T4;17.165,7
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2013T3;17.137,3
Total Nacional;Total (trimestre actual);Ocupados (trimestre anterior);2013T2;16.953,8
