rango edad;comunidad autonoma;sexo;etapa educativa;año;datos
55 - 64 años;Islas Baleares;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;53,25
55 - 64 años;Islas Baleares;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;53,00

55 - 64 años;Islas Baleares;AMBOS SEXOS;2ª etapa E. Secundaria;2023;26,92
55 - 64 años;Islas Baleares;AMBOS SEXOS;2ª etapa E. Secundaria;2022;25,15
55 - 64 años;Islas Baleares;AMBOS SEXOS;2ª etapa E. Secundaria;2021;26,68
55 - 64 años;Islas Baleares;AMBOS SEXOS;2ª etapa E. Secundaria;2020;24,89
55 - 64 años;Islas Baleares;AMBOS SEXOS;2ª etapa E. Secundaria;2019;25,00
55 - 64 años;Islas Baleares;AMBOS SEXOS;2ª etapa E. Secundaria;2018;26,09

55 - 64 años;Islas Baleares;AMBOS SEXOS;E. Superior;2023;24,80
55 - 64 años;Islas Baleares;AMBOS SEXOS;E. Superior;2022;25,60
55 - 64 años;Islas Baleares;AMBOS SEXOS;E. Superior;2021;26,37
55 - 64 años;Islas Baleares;AMBOS SEXOS;E. Superior;2020;24,55
55 - 64 años;Islas Baleares;AMBOS SEXOS;E. Superior;2019;21,75
55 - 64 años;Islas Baleares;AMBOS SEXOS;E. Superior;2018;20,91

55 - 64 años;Canarias;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;52,37
55 - 64 años;Canarias;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;52,58
55 - 64 años;Canarias;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;51,81
55 - 64 años;Canarias;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;49,79
55 - 64 años;Canarias;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;54,20
55 - 64 años;Canarias;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;59,07

55 - 64 años;Canarias;AMBOS SEXOS;2ª etapa E. Secundaria;2023;22,51
55 - 64 años;Canarias;AMBOS SEXOS;2ª etapa E. Secundaria;2022;21,62
55 - 64 años;Canarias;AMBOS SEXOS;2ª etapa E. Secundaria;2021;21,49
55 - 64 años;Canarias;AMBOS SEXOS;2ª etapa E. Secundaria;2020;25,00
55 - 64 años;Canarias;AMBOS SEXOS;2ª etapa E. Secundaria;2019;22,10
55 - 64 años;Canarias;AMBOS SEXOS;2ª etapa E. Secundaria;2018;19,79

55 - 64 años;Canarias;AMBOS SEXOS;E. Superior;2023;25,13
55 - 64 años;Canarias;AMBOS SEXOS;E. Superior;2022;25,80
55 - 64 años;Canarias;AMBOS SEXOS;E. Superior;2021;26,70
55 - 64 años;Canarias;AMBOS SEXOS;E. Superior;2020;25,21
55 - 64 años;Canarias;AMBOS SEXOS;E. Superior;2019;23,69
55 - 64 años;Canarias;AMBOS SEXOS;E. Superior;2018;21,15

55 - 64 años;Cantabria;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;34,97
55 - 64 años;Cantabria;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;39,82
55 - 64 años;Cantabria;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;44,42
55 - 64 años;Cantabria;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;45,60
55 - 64 años;Cantabria;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;44,16
55 - 64 años;Cantabria;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;44,25

55 - 64 años;Cantabria;AMBOS SEXOS;2ª etapa E. Secundaria;2023;26,70
55 - 64 años;Cantabria;AMBOS SEXOS;2ª etapa E. Secundaria;2022;24,67
55 - 64 años;Cantabria;AMBOS SEXOS;2ª etapa E. Secundaria;2021;22,88
