rango edad;comunidad autonoma;sexo;etapa educativa;año;datos
55 - 64 años;La Rioja;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;42,71
55 - 64 años;La Rioja;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;46,48
55 - 64 años;La Rioja;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;46,00
55 - 64 años;La Rioja;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;45,49
55 - 64 años;La Rioja;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;46,23

55 - 64 años;La Rioja;AMBOS SEXOS;2ª etapa E. Secundaria;2023;23,03
55 - 64 años;La Rioja;AMBOS SEXOS;2ª etapa E. Secundaria;2022;22,90
55 - 64 años;La Rioja;AMBOS SEXOS;2ª etapa E. Secundaria;2021;19,20
55 - 64 años;La Rioja;AMBOS SEXOS;2ª etapa E. Secundaria;2020;22,24
55 - 64 años;La Rioja;AMBOS SEXOS;2ª etapa E. Secundaria;2019;23,49
55 - 64 años;La Rioja;AMBOS SEXOS;2ª etapa E. Secundaria;2018;22,71

55 - 64 años;La Rioja;AMBOS SEXOS;E. Superior;2023;30,44
55 - 64 años;La Rioja;AMBOS SEXOS;E. Superior;2022;34,39
55 - 64 años;La Rioja;AMBOS SEXOS;E. Superior;2021;34,32
55 - 64 años;La Rioja;AMBOS SEXOS;E. Superior;2020;31,76
55 - 64 años;La Rioja;AMBOS SEXOS;E. Superior;2019;31,02
55 - 64 años;La Rioja;AMBOS SEXOS;E. Superior;2018;31,05

55 - 64 años;Ceuta;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;62,69
55 - 64 años;Ceuta;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;61,96
55 - 64 años;Ceuta;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;50,28
55 - 64 años;Ceuta;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;47,99
55 - 64 años;Ceuta;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;63,53
55 - 64 años;Ceuta;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;61,64

55 - 64 años;Ceuta;AMBOS SEXOS;2ª etapa E. Secundaria;2023;20,13
55 - 64 años;Ceuta;AMBOS SEXOS;2ª etapa E. Secundaria;2022;20,26
55 - 64 años;Ceuta;AMBOS SEXOS;2ª etapa E. Secundaria;2021;30,85
55 - 64 años;Ceuta;AMBOS SEXOS;2ª etapa E. Secundaria;2020;26,77
55 - 64 años;Ceuta;AMBOS SEXOS;2ª etapa E. Secundaria;2019;20,40
55 - 64 años;Ceuta;AMBOS SEXOS;2ª etapa E. Secundaria;2018;19,94

55 - 64 años;Ceuta;AMBOS SEXOS;E. Superior;2023;17,18
55 - 64 años;Ceuta;AMBOS SEXOS;E. Superior;2022;17,78
55 - 64 años;Ceuta;AMBOS SEXOS;E. Superior;2021;18,87
55 - 64 años;Ceuta;AMBOS SEXOS;E. Superior;2020;25,24
55 - 64 años;Ceuta;AMBOS SEXOS;E. Superior;2019;16,08
55 - 64 años;Ceuta;AMBOS SEXOS;E. Superior;2018;18,43

55 - 64 años;Melilla;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;45,05
55 - 64 años;Melilla;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;49,32
55 - 64 años;Melilla;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;46,75
55 - 64 años;Melilla;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;44,97
55 - 64 años;Melilla;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;54,14
55 - 64 años;Melilla;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;60,22

55 - 64 años;Melilla;AMBOS SEXOS;2ª etapa E. Secundaria;2023;29,14
55 - 64 años;Melilla;AMBOS SEXOS;2ª etapa E. Secundaria;2022;22,99
55 - 64 años;Melilla;AMBOS SEXOS;2ª etapa E. Secundaria;2021;22,70
55 - 64 años;Melilla;AMBOS SEXOS;2ª etapa E. Secundaria;2020;24,48
55 - 64 años;Melilla;AMBOS SEXOS;2ª etapa E. Secundaria;2019;19,76
55 - 64 años;Melilla;AMBOS SEXOS;2ª etapa E. Secundaria;2018;14,56

55 - 64 años;Melilla;AMBOS SEXOS;E. Superior;2023;25,81
55 - 64 años;Melilla;AMBOS SEXOS;E. Superior;2022;27,69
55 - 64 años;Melilla;AMBOS SEXOS;E. Superior;2021;30,55
55 - 64 años;Melilla;AMBOS SEXOS;E. Superior;2020;30,55
55 - 64 años;Melilla;AMBOS SEXOS;E. Superior;2019;26,10
55 - 64 años;Melilla;AMBOS SEXOS;E. Superior;2018;25,22
