Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
Castilla y León,Construcción,Gastos en transporte,2023,8.39
Castilla y León,Construcción,Gastos en transporte,2022,17.72
Castilla y León,Construcción,Gastos en transporte,2021,20.73
Castilla y León,Construcción,Gastos en transporte,2020,64.17
Castilla y León,Construcción,Gastos en transporte,2019,30.73
Castilla y León,Construcción,Gastos en transporte,2018,13.7
Castilla y León,Servicios,Gastos en transporte,2023,2.77
Castilla y León,Servicios,Gastos en transporte,2022,1.2
Castilla y León,Servicios,Gastos en transporte,2021,2.25
Castilla y León,Servicios,Gastos en transporte,2020,3.05
Castilla y León,Servicios,Gastos en transporte,2019,3.97
Castilla y León,Servicios,Gastos en transporte,2018,3.0
Castilla - La Mancha,Industria,Gastos en transporte,2023,22.14
Castilla - La Mancha,Industria,Gastos en transporte,2022,25.54
Castilla - La Mancha,Industria,Gastos en transporte,2021,21.21
Castilla - La Mancha,Industria,Gastos en transporte,2020,37.51
Castilla - La Mancha,Industria,Gastos en transporte,2019,41.53
Castilla - La Mancha,Industria,Gastos en transporte,2018,43.6
Castilla - La Mancha,Construcción,Gastos en transporte,2023,31.72
Castilla - La Mancha,Construcción,Gastos en transporte,2022,5.39
Castilla - La Mancha,Construcción,Gastos en transporte,2021,0.32
Castilla - La Mancha,Construcción,Gastos en transporte,2020,37.55
Castilla - La Mancha,Construcción,Gastos en transporte,2019,28.0
Castilla - La Mancha,Construcción,Gastos en transporte,2018,26.57
Castilla - La Mancha,Servicios,Gastos en transporte,2023,0.88
Castilla - La Mancha,Servicios,Gastos en transporte,2022,2.26
Castilla - La Mancha,Servicios,Gastos en transporte,2021,1.86
Castilla - La Mancha,Servicios,Gastos en transporte,2020,3.6
Castilla - La Mancha,Servicios,Gastos en transporte,2019,5.21
Castilla - La Mancha,Servicios,Gastos en transporte,2018,4.34
Cataluña,Industria,Gastos en transporte,2023,31.1
Cataluña,Industria,Gastos en transporte,2022,30.9
Cataluña,Industria,Gastos en transporte,2021,34.55
Cataluña,Industria,Gastos en transporte,2020,29.63
Cataluña,Industria,Gastos en transporte,2019,35.26
Cataluña,Industria,Gastos en transporte,2018,31.4
Cataluña,Construcción,Gastos en transporte,2023,13.79
Cataluña,Construcción,Gastos en transporte,2022,13.24
Cataluña,Construcción,Gastos en transporte,2021,15.67
Cataluña,Construcción,Gastos en transporte,2020,30.6
Cataluña,Construcción,Gastos en transporte,2019,41.44
Cataluña,Construcción,Gastos en transporte,2018,8.02
Cataluña,Servicios,Gastos en transporte,2023,5.4
Cataluña,Servicios,Gastos en transporte,2022,5.4
Cataluña,Servicios,Gastos en transporte,2021,3.67
Cataluña,Servicios,Gastos en transporte,2020,2.93
Cataluña,Servicios,Gastos en transporte,2019,3.52
Cataluña,Servicios,Gastos en transporte,2018,3.69
Comunitat Valenciana,Industria,Gastos en transporte,2023,17.59
Comunitat Valenciana,Industria,Gastos en transporte,2022,16.12
Comunitat Valenciana,Industria,Gastos en transporte,2021,12.79
Comunitat Valenciana,Industria,Gastos en transporte,2020,15.87
Comunitat Valenciana,Industria,Gastos en transporte,2019,17.39
Comunitat Valenciana,Industria,Gastos en transporte,2018,17.06
Comunitat Valenciana,Construcción,Gastos en transporte,2023,79.77
Comunitat Valenciana,Construcción,Gastos en transporte,2022,6.3
Comunitat Valenciana,Construcción,Gastos en transporte,2021,19.8
Comunitat Valenciana,Construcción,Gastos en transporte,2020,4.98
Comunitat Valenciana,Construcción,Gastos en transporte,2019,35.26
Comunitat Valenciana,Construcción,Gastos en transporte,2018,24.98
Comunitat Valenciana,Servicios,Gastos en transporte,2023,1.37
Comunitat Valenciana,Servicios,Gastos en transporte,2022,1.25
Comunitat Valenciana,Servicios,Gastos en transporte,2021,1.5
Comunitat Valenciana,Servicios,Gastos en transporte,2020,2.45
Comunitat Valenciana,Servicios,Gastos en transporte,2019,2.27
Comunitat Valenciana,Servicios,Gastos en transporte,2018,2.18
Extremadura,Industria,Gastos en transporte,2023,10.3
Extremadura,Industria,Gastos en transporte,2022,2.58
Extremadura,Industria,Gastos en transporte,2021,2.31
Extremadura,Industria,Gastos en transporte,2020,4.05
Extremadura,Industria,Gastos en transporte,2019,4.72
Extremadura,Industria,Gastos en transporte,2018,3.09
Extremadura,Construcción,Gastos en transporte,2023,43.25
Extremadura,Construcción,Gastos en transporte,2022,30.08
Extremadura,Construcción,Gastos en transporte,2021,28.12
Extremadura,Construcción,Gastos en transporte,2020,46.94
Extremadura,Construcción,Gastos en transporte,2019,45.96
Extremadura,Construcción,Gastos en transporte,2018,28.0
Extremadura,Servicios,Gastos en transporte,2023,1.08
Extremadura,Servicios,Gastos en transporte,2022,0.65
Extremadura,Servicios,Gastos en transporte,2021,2.82
Extremadura,Servicios,Gastos en transporte,2020,2.03
Extremadura,Servicios,Gastos en transporte,2019,3.28
Extremadura,Servicios,Gastos en transporte,2018,4.73
Galicia,Industria,Gastos en transporte,2023,23.12
Galicia,Industria,Gastos en transporte,2022,20.73
Galicia,Industria,Gastos en transporte,2021,19.73
Galicia,Industria,Gastos en transporte,2020,17.52
Galicia,Industria,Gastos en transporte,2019,17.51
Galicia,Industria,Gastos en transporte,2018,28.35
Galicia,Construcción,Gastos en transporte,2023,11.16
Galicia,Construcción,Gastos en transporte,2022,7.37
Galicia,Construcción,Gastos en transporte,2021,91.07
Galicia,Construcción,Gastos en transporte,2020,78.44
Galicia,Construcción,Gastos en transporte,2019,48.18
Galicia,Construcción,Gastos en transporte,2018,55.09
Galicia,Servicios,Gastos en transporte,2023,3.44
Galicia,Servicios,Gastos en transporte,2022,5.17
Galicia,Servicios,Gastos en transporte,2021,1.81
Galicia,Servicios,Gastos en transporte,2020,2.6
Galicia,Servicios,Gastos en transporte,2019,2.8
Galicia,Servicios,Gastos en transporte,2018,2.22
"Madrid, Comunidad de",Industria,Gastos en transporte,2023,43.25
"Madrid, Comunidad de",Industria,Gastos en transporte,2022,40.6
"Madrid, Comunidad de",Industria,Gastos en transporte,2021,46.22
"Madrid, Comunidad de",Industria,Gastos en transporte,2020,41.85
"Madrid, Comunidad de",Industria,Gastos en transporte,2019,41.9
"Madrid, Comunidad de",Industria,Gastos en transporte,2018,44.45
"Madrid, Comunidad de",Construcción,Gastos en transporte,2023,2.1
"Madrid, Comunidad de",Construcción,Gastos en transporte,2022,19.94
"Madrid, Comunidad de",Construcción,Gastos en transporte,2021,4.0
"Madrid, Comunidad de",Construcción,Gastos en transporte,2020,2.82
"Madrid, Comunidad de",Construcción,Gastos en transporte,2019,5.28
"Madrid, Comunidad de",Construcción,Gastos en transporte,2018,37.36
"Madrid, Comunidad de",Servicios,Gastos en transporte,2023,10.41
"Madrid, Comunidad de",Servicios,Gastos en transporte,2022,10.0
"Madrid, Comunidad de",Servicios,Gastos en transporte,2021,11.46
"Madrid, Comunidad de",Servicios,Gastos en transporte,2020,8.51
"Madrid, Comunidad de",Servicios,Gastos en transporte,2019,12.07
"Madrid, Comunidad de",Servicios,Gastos en transporte,2018,12.33
"Murcia, Región de",Industria,Gastos en transporte,2023,1.66
"Murcia, Región de",Industria,Gastos en transporte,2022,1.78
"Murcia, Región de",Industria,Gastos en transporte,2021,1.35
"Murcia, Región de",Industria,Gastos en transporte,2020,1.63
"Murcia, Región de",Industria,Gastos en transporte,2019,3.62
"Murcia, Región de",Industria,Gastos en transporte,2018,5.06
"Murcia, Región de",Construcción,Gastos en transporte,2023,1.21
"Murcia, Región de",Construcción,Gastos en transporte,2022,2.02
"Murcia, Región de",Construcción,Gastos en transporte,2021,3.0
"Murcia, Región de",Construcción,Gastos en transporte,2020,11.05
"Murcia, Región de",Construcción,Gastos en transporte,2019,3.34
"Murcia, Región de",Construcción,Gastos en transporte,2018,15.99
"Murcia, Región de",Servicios,Gastos en transporte,2023,0.79
"Murcia, Región de",Servicios,Gastos en transporte,2022,1.55
"Murcia, Región de",Servicios,Gastos en transporte,2021,0.74
"Murcia, Región de",Servicios,Gastos en transporte,2020,1.35
"Murcia, Región de",Servicios,Gastos en transporte,2019,2.64
"Murcia, Región de",Servicios,Gastos en transporte,2018,5.54
"Navarra, Comunidad Foral de",Industria,Gastos en transporte,2023,25.64
"Navarra, Comunidad Foral de",Industria,Gastos en transporte,2022,47.13
"Navarra, Comunidad Foral de",Industria,Gastos en transporte,2021,47.9
"Navarra, Comunidad Foral de",Industria,Gastos en transporte,2020,46.32
"Navarra, Comunidad Foral de",Industria,Gastos en transporte,2019,21.73
"Navarra, Comunidad Foral de",Industria,Gastos en transporte,2018,36.82
"Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2023,6.42
"Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2022,0.0
"Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2021,0.0
"Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2020,18.49
"Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2019,11.9
"Navarra, Comunidad Foral de",Construcción,Gastos en transporte,2018,0.0
"Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2023,7.29
"Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2022,2.13
"Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2021,2.25
"Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2020,2.59
"Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2019,4.23
"Navarra, Comunidad Foral de",Servicios,Gastos en transporte,2018,4.41
País Vasco,Industria,Gastos en transporte,2023,53.34
País Vasco,Industria,Gastos en transporte,2022,45.23
País Vasco,Industria,Gastos en transporte,2021,51.68
País Vasco,Industria,Gastos en transporte,2020,40.23
País Vasco,Industria,Gastos en transporte,2019,54.38
País Vasco,Industria,Gastos en transporte,2018,71.61
País Vasco,Construcción,Gastos en transporte,2023,30.82
País Vasco,Construcción,Gastos en transporte,2022,30.79
País Vasco,Construcción,Gastos en transporte,2021,14.92
País Vasco,Construcción,Gastos en transporte,2020,22.35
País Vasco,Construcción,Gastos en transporte,2019,22.46
País Vasco,Construcción,Gastos en transporte,2018,16.21
País Vasco,Servicios,Gastos en transporte,2023,7.54
País Vasco,Servicios,Gastos en transporte,2022,7.02
País Vasco,Servicios,Gastos en transporte,2021,6.99
País Vasco,Servicios,Gastos en transporte,2020,7.33
País Vasco,Servicios,Gastos en transporte,2019,7.21
