Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
Cantabria,Construcción,Sueldos y salarios,2023,"24.007,71"
Cantabria,Construcción,Sueldos y salarios,2022,"23.985,89"
Cantabria,Construcción,Sueldos y salarios,2021,"22.261,75"
Cantabria,Construcción,Sueldos y salarios,2020,"21.510,73"
Cantabria,Construcción,Sueldos y salarios,2019,"22.676,41"
Cantabria,Construcción,Sueldos y salarios,2018,"21.245,41"
Cantabria,Servicios,Sueldos y salarios,2023,"23.310,33"
Cantabria,Servicios,Sueldos y salarios,2022,"22.495,95"
Cantabria,Servicios,Sueldos y salarios,2021,"21.355,10"
Cantabria,Servicios,Sueldos y salarios,2020,"20.975,65"
Cantabria,Servicios,Sueldos y salarios,2019,"21.464,65"
Cantabria,Servicios,Sueldos y salarios,2018,"20.978,21"
Castilla y León,Industria,Sueldos y salarios,2023,"28.539,91"
Castilla y León,Industria,Sueldos y salarios,2022,"27.122,61"
Castilla y León,Industria,Sueldos y salarios,2021,"25.611,53"
Castilla y León,Industria,Sueldos y salarios,2020,"24.855,59"
Castilla y León,Industria,Sueldos y salarios,2019,"25.456,58"
Castilla y León,Industria,Sueldos y salarios,2018,"24.797,12"
Castilla y León,Construcción,Sueldos y salarios,2023,"22.888,17"
Castilla y León,Construcción,Sueldos y salarios,2022,"22.722,25"
Castilla y León,Construcción,Sueldos y salarios,2021,"22.019,78"
Castilla y León,Construcción,Sueldos y salarios,2020,"21.697,84"
Castilla y León,Construcción,Sueldos y salarios,2019,"21.727,93"
Castilla y León,Construcción,Sueldos y salarios,2018,"21.358,49"
Castilla y León,Servicios,Sueldos y salarios,2023,"22.779,81"
Castilla y León,Servicios,Sueldos y salarios,2022,"21.692,50"
Castilla y León,Servicios,Sueldos y salarios,2021,"21.031,85"
Castilla y León,Servicios,Sueldos y salarios,2020,"19.840,38"
Castilla y León,Servicios,Sueldos y salarios,2019,"19.845,97"
Castilla y León,Servicios,Sueldos y salarios,2018,"19.498,46"
Castilla - La Mancha,Industria,Sueldos y salarios,2023,"25.675,14"
Castilla - La Mancha,Industria,Sueldos y salarios,2022,"24.842,02"
Castilla - La Mancha,Industria,Sueldos y salarios,2021,"23.724,83"
Castilla - La Mancha,Industria,Sueldos y salarios,2020,"22.914,28"
Castilla - La Mancha,Industria,Sueldos y salarios,2019,"23.396,92"
Castilla - La Mancha,Industria,Sueldos y salarios,2018,"23.460,37"
Castilla - La Mancha,Construcción,Sueldos y salarios,2023,"22.445,58"
Castilla - La Mancha,Construcción,Sueldos y salarios,2022,"21.283,66"
Castilla - La Mancha,Construcción,Sueldos y salarios,2021,"20.323,86"
Castilla - La Mancha,Construcción,Sueldos y salarios,2020,"18.916,16"
Castilla - La Mancha,Construcción,Sueldos y salarios,2019,"19.644,88"
Castilla - La Mancha,Construcción,Sueldos y salarios,2018,"19.581,21"
Castilla - La Mancha,Servicios,Sueldos y salarios,2023,"23.055,70"
Castilla - La Mancha,Servicios,Sueldos y salarios,2022,"22.034,69"
Castilla - La Mancha,Servicios,Sueldos y salarios,2021,"20.909,71"
Castilla - La Mancha,Servicios,Sueldos y salarios,2020,"19.866,72"
Castilla - La Mancha,Servicios,Sueldos y salarios,2019,"19.721,04"
Castilla - La Mancha,Servicios,Sueldos y salarios,2018,"19.299,63"
Cataluña,Industria,Sueldos y salarios,2023,"33.983,83"
Cataluña,Industria,Sueldos y salarios,2022,"32.022,77"
Cataluña,Industria,Sueldos y salarios,2021,"30.682,64"
Cataluña,Industria,Sueldos y salarios,2020,"28.665,60"
Cataluña,Industria,Sueldos y salarios,2019,"30.532,07"
Cataluña,Industria,Sueldos y salarios,2018,"30.298,98"
Cataluña,Construcción,Sueldos y salarios,2023,"30.052,92"
Cataluña,Construcción,Sueldos y salarios,2022,"27.890,64"
Cataluña,Construcción,Sueldos y salarios,2021,"26.000,87"
Cataluña,Construcción,Sueldos y salarios,2020,"25.215,47"
Cataluña,Construcción,Sueldos y salarios,2019,"24.287,88"
Cataluña,Construcción,Sueldos y salarios,2018,"23.726,72"
Cataluña,Servicios,Sueldos y salarios,2023,"27.624,31"
Cataluña,Servicios,Sueldos y salarios,2022,"26.478,22"
Cataluña,Servicios,Sueldos y salarios,2021,"25.041,28"
Cataluña,Servicios,Sueldos y salarios,2020,"23.037,17"
Cataluña,Servicios,Sueldos y salarios,2019,"24.096,54"
Cataluña,Servicios,Sueldos y salarios,2018,"23.463,18"
Comunitat Valenciana,Industria,Sueldos y salarios,2023,"25.872,07"
Comunitat Valenciana,Industria,Sueldos y salarios,2022,"25.148,74"
Comunitat Valenciana,Industria,Sueldos y salarios,2021,"23.965,56"
Comunitat Valenciana,Industria,Sueldos y salarios,2020,"22.767,14"
Comunitat Valenciana,Industria,Sueldos y salarios,2019,"23.572,24"
Comunitat Valenciana,Industria,Sueldos y salarios,2018,"22.981,21"
Comunitat Valenciana,Construcción,Sueldos y salarios,2023,"22.530,66"
Comunitat Valenciana,Construcción,Sueldos y salarios,2022,"21.279,26"
Comunitat Valenciana,Construcción,Sueldos y salarios,2021,"20.571,85"
Comunitat Valenciana,Construcción,Sueldos y salarios,2020,"20.125,33"
Comunitat Valenciana,Construcción,Sueldos y salarios,2019,"20.514,24"
Comunitat Valenciana,Construcción,Sueldos y salarios,2018,"20.552,00"
Comunitat Valenciana,Servicios,Sueldos y salarios,2023,"23.125,14"
Comunitat Valenciana,Servicios,Sueldos y salarios,2022,"22.317,57"
Comunitat Valenciana,Servicios,Sueldos y salarios,2021,"21.328,82"
Comunitat Valenciana,Servicios,Sueldos y salarios,2020,"19.613,19"
Comunitat Valenciana,Servicios,Sueldos y salarios,2019,"20.133,40"
Comunitat Valenciana,Servicios,Sueldos y salarios,2018,"19.861,78"
Extremadura,Industria,Sueldos y salarios,2023,"23.124,40"
Extremadura,Industria,Sueldos y salarios,2022,"22.699,12"
Extremadura,Industria,Sueldos y salarios,2021,"21.449,54"
Extremadura,Industria,Sueldos y salarios,2020,"21.501,88"
Extremadura,Industria,Sueldos y salarios,2019,"21.284,75"
Extremadura,Industria,Sueldos y salarios,2018,"20.919,24"
Extremadura,Construcción,Sueldos y salarios,2023,"19.978,83"
Extremadura,Construcción,Sueldos y salarios,2022,"19.616,99"
Extremadura,Construcción,Sueldos y salarios,2021,"20.008,38"
Extremadura,Construcción,Sueldos y salarios,2020,"18.615,83"
Extremadura,Construcción,Sueldos y salarios,2019,"18.815,29"
Extremadura,Construcción,Sueldos y salarios,2018,"18.377,78"
Extremadura,Servicios,Sueldos y salarios,2023,"20.534,24"
Extremadura,Servicios,Sueldos y salarios,2022,"20.137,16"
Extremadura,Servicios,Sueldos y salarios,2021,"19.121,14"
Extremadura,Servicios,Sueldos y salarios,2020,"18.079,56"
Extremadura,Servicios,Sueldos y salarios,2019,"18.938,98"
Extremadura,Servicios,Sueldos y salarios,2018,"18.390,70"
Galicia,Industria,Sueldos y salarios,2023,"27.624,74"
